,level_0,index,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw
10,9,200,-38.98604,-72.64357,315.64,1.0,1.0,2022-01-07,1446,T,51,6.1NRT,302.5,5.63,D,"-38.98604,-72.64357","Eleuterio Ramírez, Dieciocho de Septiembre, Pitrufquén, Provincia de Cautín, Región de la Araucanía, Chile",Eleuterio Ramírez,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Pitrufquén,,,,,Dieciocho de Septiembre,,,,,,,,,,,,Pitrufquén,,,,,
11,10,201,-39.36605,-72.62278,311.48,1.0,1.0,2022-01-07,1446,T,44,6.1NRT,299.85,5.89,D,"-39.36605,-72.62278","Marcela Paz, Loncoche, Provincia de Cautín, Región de la Araucanía, 4970348, Chile",Marcela Paz,,Provincia de Cautín,Región de la Araucanía,Chile,cl,,Loncoche,,,4970348,,,,,,,,,,,,,,Loncoche,9.0,91.0,9109.0,LONCOCHE,"{'place_id': 281002646, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 974767436, 'lat': '-39.356244127993676', 'lon': '-72.58196402847004', 'display_name': 'Ruta 5 Sur, Suto, Loncoche, Provincia de Cautín, Región de la Araucanía, 4970348, Chile', 'address': {'road': 'Ruta 5 Sur', 'hamlet': 'Suto', 'town': 'Loncoche', 'county': 'Provincia de Cautín', 'state': 'Región de la Araucanía', 'postcode': '4970348', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.3570194', '-39.3560974', '-72.584121', '-72.5815558']}"
12,11,202,-39.54124,-72.50324,309.57,1.0,1.0,2022-01-07,1446,T,40,6.1NRT,299.12,4.81,D,"-39.54124,-72.50324","Los Carrera, Villa Hermosa, Malalhue, Lanco, Provincia de Valdivia, Región de Los Ríos, Chile",Los Carrera,,Provincia de Valdivia,Región de Los Ríos,Chile,cl,,Lanco,,,,,Villa Hermosa,,,,,Malalhue,,,,,,,Lanco,14.0,141.0,14103.0,LANCO,"{'place_id': 271573365, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 901066321, 'lat': '-39.509431029472', 'lon': '-72.6203995939875', 'display_name': 'Aylin, Lanco, Provincia de Valdivia, Región de Los Ríos, Chile', 'address': {'hamlet': 'Aylin', 'town': 'Lanco', 'county': 'Provincia de Valdivia', 'state': 'Región de Los Ríos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.5188289', '-39.5077428', '-72.6261509', '-72.5923212']}"
13,12,203,-39.53785,-72.95538,311.26,1.01,1.0,2022-01-07,1446,T,49,6.1NRT,299.57,5.61,D,"-39.53785,-72.95538","Los Copihues, San José de La Mariquina, Mariquina, Provincia de Valdivia, Región de Los Ríos, Chile",Los Copihues,Mariquina,Provincia de Valdivia,Región de Los Ríos,Chile,cl,,San José de La Mariquina,,,,,,,,,,,,,,,,,Mariquina,14.0,141.0,14106.0,MARIQUINA,"{'place_id': 273024422, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 920888247, 'lat': '-39.5107024', 'lon': '-73.0169794', 'display_name': 'Puringue Rico, Mariquina, Provincia de Valdivia, Región de Los Ríos, Chile', 'address': {'hamlet': 'Puringue Rico', 'city': 'Mariquina', 'county': 'Provincia de Valdivia', 'state': 'Región de Los Ríos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.5107848', '-39.5065696', '-73.0281954', '-73.0028167']}"
14,13,204,-39.8657,-72.80116,308.71,1.0,1.0,2022-01-07,1446,T,45,6.1NRT,298.0,4.66,D,"-39.8657,-72.80116","Constructora Harcha Ltda, 700, Calle de Servicio Oriente, Sector La Rotonda, Los Lagos, Provincia de Valdivia, Región de Los Ríos, Chile",Calle de Servicio Oriente,,Provincia de Valdivia,Región de Los Ríos,Chile,cl,,Los Lagos,,,,,Sector La Rotonda,,,,Constructora Harcha Ltda,,,,,,,,Los Lagos,14.0,141.0,14104.0,LOS LAGOS,"{'place_id': 282596934, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1785707, 'lat': '-39.8634009', 'lon': '-72.8129655', 'display_name': 'Los Lagos, Provincia de Valdivia, Región de Los Ríos, Chile', 'address': {'town': 'Los Lagos', 'county': 'Provincia de Valdivia', 'state': 'Región de Los Ríos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-40.0428261', '-39.6595167', '-72.9818362', '-72.0250515']}"
15,14,205,-40.34134,-72.94484,310.94,1.0,1.0,2022-01-07,1446,T,33,6.1NRT,297.62,4.26,D,"-40.34134,-72.94484","Internado Liceo Vicente Pérez Rosales, Los Coihues, Población Balmaceda II, Río Bueno, Provincia de Ranco, Región de Los Ríos, 5240000, Chile",Los Coihues,,Provincia de Ranco,Región de Los Ríos,Chile,cl,,Río Bueno,,,5240000,,Población Balmaceda II,,,Internado Liceo Vicente Pérez Rosales,,,,,,,,,Río Bueno,14.0,142.0,14204.0,RÍO BUENO,"{'place_id': 107431203, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25734980, 'lat': '-40.49673075810854', 'lon': '-72.53501716944659', 'display_name': 'Cruce T-87 (Muticao) - Futahuente, Río Bueno, Provincia de Ranco, Región de Los Ríos, Chile', 'address': {'road': 'Cruce T-87 (Muticao) - Futahuente', 'town': 'Río Bueno', 'county': 'Provincia de Ranco', 'state': 'Región de Los Ríos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-40.507872', '-40.484717', '-72.6990567', '-72.508291']}"
16,15,206,-40.908809999999995,-73.16289,312.79,1.0,1.0,2022-01-07,1446,T,58,6.1NRT,300.77,4.79,D,"-40.908809999999995,-73.16289","Discotheque Bar West, Almirante Latorre, Villa Las Flores, Purranque, Provincia de Osorno, Región de Los Lagos, 506202, Chile",Almirante Latorre,Purranque,Provincia de Osorno,Región de Los Lagos,Chile,cl,,,,,506202,,Villa Las Flores,,,Discotheque Bar West,,,,,,,,,Purranque,10.0,103.0,10303.0,PURRANQUE,"{'place_id': 107384118, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25733470, 'lat': '-40.93411591242287', 'lon': '-73.45719209628106', 'display_name': 'U-734, Coligual, Purranque, Provincia de Osorno, Región de Los Lagos, Chile', 'address': {'road': 'U-734', 'hamlet': 'Coligual', 'city': 'Purranque', 'county': 'Provincia de Osorno', 'state': 'Región de Los Lagos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-40.9374908', '-40.9220038', '-73.4593983', '-73.447047']}"
17,16,207,-41.39842,-73.46353,309.44,1.0,1.0,2022-01-07,1446,T,49,6.1NRT,298.64,4.04,D,"-41.39842,-73.46353","Chilexpress, 98, Blanco Encalada, Villa Los Poetas, Los Muermos, Provincia de Llanquihue, Región de Los Lagos, Chile",Blanco Encalada,Los Muermos,Provincia de Llanquihue,Región de Los Lagos,Chile,cl,,,,,,,Villa Los Poetas,,,Chilexpress,,,,,,,,,Los Muermos,10.0,101.0,10106.0,LOS MUERMOS,"{'place_id': 168349714, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 272554956, 'lat': '-41.39388589449934', 'lon': '-73.58056463684991', 'display_name': 'Los Muermos - Río Llico - Quenuir, Los Muermos, Provincia de Llanquihue, Región de Los Lagos, Chile', 'address': {'road': 'Los Muermos - Río Llico - Quenuir', 'city': 'Los Muermos', 'county': 'Provincia de Llanquihue', 'state': 'Región de Los Lagos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-41.402977', '-41.3744374', '-73.6815274', '-73.5528754']}"
18,17,208,-41.88702,-72.57899,314.14,1.0,1.0,2022-01-07,1446,T,65,6.1NRT,303.37,11.16,D,"-41.88702,-72.57899","Hualaihué, Provincia de Palena, Región de Los Lagos, 5860000, Chile",,Hualaihué,Provincia de Palena,Región de Los Lagos,Chile,cl,,,,,5860000,,,,,,,,,,,,,,Hualaihué,10.0,104.0,10403.0,HUALAIHUÉ,"{'place_id': 65484213, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5994025936, 'lat': '-42.169114', 'lon': '-72.3653337', 'display_name': 'Quintupeu, Hualaihué, Provincia de Palena, Región de Los Lagos, Chile', 'address': {'locality': 'Quintupeu', 'city': 'Hualaihué', 'county': 'Provincia de Palena', 'state': 'Región de Los Lagos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-42.179114', '-42.159114', '-72.3753337', '-72.3553337']}"
19,18,209,-42.466770000000004,-73.78543,311.61,1.0,1.0,2022-01-07,1446,T,30,6.1NRT,298.56,5.35,D,"-42.466770000000004,-73.78543","Pablo Neruda, Padre Hurtado, Tentén, Castro, Provincia de Chiloé, Región de Los Lagos, 570000, Chile",Pablo Neruda,Castro,Provincia de Chiloé,Región de Los Lagos,Chile,cl,,,,,570000,,Padre Hurtado,,,,,Tentén,,,,,,,Castro,10.0,102.0,10201.0,CASTRO,"{'place_id': 218423956, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 553821971, 'lat': '-42.473254343723355', 'lon': '-73.80041591108142', 'display_name': 'Francisco Gallardo, Gamboa Alto, Castro, Provincia de Chiloé, Región de Los Lagos, 5700196, Chile', 'address': {'road': 'Francisco Gallardo', 'neighbourhood': 'Gamboa Alto', 'city': 'Castro', 'county': 'Provincia de Chiloé', 'state': 'Región de Los Lagos', 'postcode': '5700196', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-42.4840373', '-42.4662239', '-73.808095', '-73.7873549']}"
20,19,210,-42.4686,-73.77328,312.67,1.0,1.0,2022-01-07,1446,T,0,6.1NRT,299.01,5.24,D,"-42.4686,-73.77328","Félix Díaz Bórquez, Villa Los Profesores, Castro, Provincia de Chiloé, Región de Los Lagos, 5700196, Chile",Félix Díaz Bórquez,Castro,Provincia de Chiloé,Región de Los Lagos,Chile,cl,,,,,5700196,,Villa Los Profesores,,,,,,,,,,,,Castro,10.0,102.0,10201.0,CASTRO,"{'place_id': 218423956, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 553821971, 'lat': '-42.473254343723355', 'lon': '-73.80041591108142', 'display_name': 'Francisco Gallardo, Gamboa Alto, Castro, Provincia de Chiloé, Región de Los Lagos, 5700196, Chile', 'address': {'road': 'Francisco Gallardo', 'neighbourhood': 'Gamboa Alto', 'city': 'Castro', 'county': 'Provincia de Chiloé', 'state': 'Región de Los Lagos', 'postcode': '5700196', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-42.4840373', '-42.4662239', '-73.808095', '-73.7873549']}"
21,21,435,-32.807359999999996,-70.95334,323.43,1.01,1.0,2022-01-07,1444,T,60,6.1NRT,308.34,8.13,D,"-32.807359999999996,-70.95334","Chagres, Catemu, Provincia de San Felipe de Aconcagua, Región de Valparaíso, Chile",,,Provincia de San Felipe de Aconcagua,Región de Valparaíso,Chile,cl,,Catemu,,,,,Chagres,,,,,,,,,,,,Catemu,5.0,57.0,5702.0,CATEMU,"{'place_id': 49300305, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4270237368, 'lat': '-32.6946303', 'lon': '-70.9344539', 'display_name': 'Villa las Palmas, Los Cerrillos, Catemu, Provincia de San Felipe de Aconcagua, Región de Valparaíso, Chile', 'address': {'neighbourhood': 'Villa las Palmas', 'village': 'Los Cerrillos', 'town': 'Catemu', 'county': 'Provincia de San Felipe de Aconcagua', 'state': 'Región de Valparaíso', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-32.7046303', '-32.6846303', '-70.9444539', '-70.9244539']}"
22,22,1059,-41.39697,-72.90458000000001,312.59,1.09,1.04,2022-01-07,1906,A,18,6.1NRT,299.5,5.36,D,"-41.39697,-72.90458000000001","Banco Estado, Avenida Violeta Parra, Villa Alerce Andino, Alerce, Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, Chile",Avenida Violeta Parra,Puerto Montt,Provincia de Llanquihue,Región de Los Lagos,Chile,cl,,Alerce,,,,,Villa Alerce Andino,,,Banco Estado,,,,,,,,,Puerto Montt,10.0,101.0,10101.0,PUERTO MONTT,"{'place_id': 107050814, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25733597, 'lat': '-41.49145729702038', 'lon': '-72.79511576538215', 'display_name': 'Camino Parpalén, Parpalén, Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, Chile', 'address': {'road': 'Camino Parpalén', 'hamlet': 'Parpalén', 'city': 'Puerto Montt', 'county': 'Provincia de Llanquihue', 'state': 'Región de Los Lagos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-41.5033824', '-41.490966', '-72.8018639', '-72.7926581']}"
23,23,1060,-39.540859999999995,-72.95643000000001,317.65,1.14,1.06,2022-01-07,1906,A,65,6.1NRT,306.65,8.47,D,"-39.540859999999995,-72.95643000000001","San José de La Mariquina, Mariquina, Provincia de Valdivia, Región de Los Ríos, Chile",,Mariquina,Provincia de Valdivia,Región de Los Ríos,Chile,cl,,San José de La Mariquina,,,,,,,,,,,,,,,,,Mariquina,14.0,141.0,14106.0,MARIQUINA,"{'place_id': 273024422, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 920888247, 'lat': '-39.5107024', 'lon': '-73.0169794', 'display_name': 'Puringue Rico, Mariquina, Provincia de Valdivia, Región de Los Ríos, Chile', 'address': {'hamlet': 'Puringue Rico', 'city': 'Mariquina', 'county': 'Provincia de Valdivia', 'state': 'Región de Los Ríos', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-39.5107848', '-39.5065696', '-73.0281954', '-73.0028167']}"
24,24,1061,-34.1143,-70.45340999999999,328.6,1.95,1.36,2022-01-07,1908,A,58,6.1NRT,313.27,19.26,D,"-34.1143,-70.45340999999999","Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,,Machalí,,Caletones,,,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
25,25,1199,-34.10107,-70.46106999999999,303.8,1.24,1.11,2022-01-08,609,A,57,6.1NRT,287.76,10.46,N,"-34.10107,-70.46106999999999","Planta Caletones División El Teniente de Codelco, Caletones, Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",,,Provincia de Cachapoal,Región del Libertador General Bernardo O'Higgins,Chile,cl,Planta Caletones División El Teniente de Codelco,Machalí,,Caletones,,,,,,,,,,,,,,,Machalí,6.0,61.0,6108.0,MACHALÍ,"{'place_id': 282577281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1664171, 'lat': '-34.182453', 'lon': '-70.6511584', 'display_name': ""Machalí, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile"", 'address': {'town': 'Machalí', 'county': 'Provincia de Cachapoal', 'state': ""Región del Libertador General Bernardo O'Higgins"", 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-34.703403', '-34.0090745', '-70.7244661', '-70.0096881']}"
